id,src,startTime,answer,answer keyword
1,T6Ua34lPh_0,3,빠삐코,
2,vXqlaz_8FH4,0,쿠우,
3,6eH86klRbME,0,이가탄,
4,DnrrZNkj7Ok,0,새우깡,
5,QMwci5_4VI0,0,신라면,
6,ZM-aogMDP3s,0,오로라민씨,
7,8hAVAmOJTr8,2,오레오,
8,cPJiPphm8tg,2,동원참치,
9,ejW40LEwxGY,0,연두,
10,ds3iedhVZaQ,0,이마트,
11,bAvUzRQDv1c,70,아웃백,
12,SEhQID2zB3o,5,첵스초코,
13,vUqpAIGecUo,2,롤리팝,
14,ltPyf9IU3dI,0,아이디,id
15,IzgRsRIHZfw,0,아몰레드,
16,Fp24y7pYZUY,0,빅맥,
17,l_gcVPx1PPU,9,짜파게티,
18,xHusEaBbMHU,0,너구리,
19,puWvOjgp5SU,3,팔도비빔면,
20,zMSzwGxfOFI,0,오란씨,
21,FB9N30TAXX0,0,트로피카나,
22,bckLRglL5qg,0,초록매실,널깨물어주고싶어
23,QCrYIjuc8rQ,0,미녀는석류를좋아해,
24,D5pwzTUVTGM,0,베스킨라빈스,베스킨라빈스31 베라
25,JXxMsQ-2uOA,7,show,KT 쑈 쇼
26,MXG2L-Li3cs,0,산와머니,
27,6Nhaif5EPj4,0,배칠수꽃배달,꽃배달
28,QnUX1Ef-Vyw,0,앞뒤가똑같은전화번호1577-1577대리운전 ,"1577, 앞뒤가똑같은전화번호"
29,jPU3DgMl1xU,0,여명808,여명
30,vqtHnuVzwoI,0,서울사이버대학,
31,nRXMcg4313E,0,시원스쿨,
32,xCXxFAnzXn4,0,진라면,
33,ogAhXWZaAJQ,0,야놀자,
34,n6inJAVe_L4,0,구아바,델몬트화이트
35,XxaQ0EMc88U,0,야나두,
36,LJcJJ64N4nc,0,스크류바,
37,Al4C3wuW1_8,3,포카리스웨트,포카리
38,0zKTiGEwLps,0,대성마이맥,마이맥