id,src,startTime,answer,answerKeyword
1,f6fmaSvGUec,0,메이플스토리,메이플
2,S4rWGAdlBXE,0,카트라이더,카트
3,cA8bxgPAn-s,0,크레이지아케이드,크아
4,eomHQg4YIb8,0,모두의마블,모마
5,pDJk7Lt0wxE,0,리니지,
6,2Om4yaj-Xgw,0,바람의나라,
7,MOzZe_yVIcc,0,테일즈위버,
8,uP9VLg-zXCk,12,테일즈런너,테런
9,G6E1x4LPpJQ,0,카운터스트라이크,카스
10,j-KaIWW55Ls,4,모여봐요동물의숲,동숲 동물의숲 모동숲
11,pFkNIOsspg0,0,라테일,
12,Ttq64a-afH8,0,마법학교아르피아,아르피아
13,yjjs5kzvD5c,0,야채부락리,쿵야
14,-yGWB78N2Mw,0,스타크래프트,스타
15,0jXTBAGv9ZQ,61,헤일로,
16,HtwJvDaUCcc,0,오버워치,옵치
17,9l-VZC3UGXA,61,프린세스커넥트,프리코네
18,a9c0tte-gFI,0,아이돌마스터,아이마스 아이돌마스터
19,i2lSNjkWIS0,0,니어오토마타,니어
20,WjJuEMEES-A,0,젤다의전설야생의숨결,젤다의전설 젤다
21,rFoS-625ljY,0,파이널판타지14,파판 파이널판타지
22,btoPJnW2KX8,0,서든어택,서든
23,izfFPpO7-Zo,0,그랜드체이스,그체
24,QPRo8kvvXN0,0,던전앤파이터,던파
25,FbpEGp9s9kg,0,어몽어스,어몽
26,J-g7X_1Ay0Y,0,마비노기,마비
27,WgnL91uR56A,0,검은사막,검사
28,JiNShjReGPk,0,큐플레이,
29,eYcZVVI-9ck,0,포켓몬스터레드,포켓몬 포켓몬스터
30,j7mZA-_oWfw,0,폴가이즈,
31,s7RRgF5Ve_E,0,언더테일,
32,Q2GrY-J4zq4,0,끄투온라인,끄투
33,i2YfwfuhWX0,0,블레이드앤소울,블소 블앤소
34,CMqdZXjdt5s,0,페이트그랜드오더,페그오
35,W2Q4Qpv5NTw,0,겟앰프드,겟앰
36,sOQsLcJObR0,59,클로저스,
37,SyxmlJHdInc,0,로스트사가,
38,OJPtMTthR7E,0,슈퍼마리오,마리오 슈퍼마리오브라더스
39,d9q7OUmMY3E,0,EZ2DJ,이지투디제이 이지투 ez2dj 이지투온
40,vUm7PMsyaZ8,40,마비노기영웅전,마영전
41,V4lDpvTEcv4,0,거상,
42,qq-RGFyaq0U,0,마인크래프트,
43,ko1FBOvtbLs,35,포탈,
44,9aCGd7oGrEY,49,엘리샤,
45,tjZyL06s7qY,0,알투비트,알투
46,1ERvK2RCqBY,49,디제이맥스,디맥
47,rscBkUxCX-A,0,별의커비,커비
48,Dx8uRaIsWI0,0,요구르팅,
49,2JYnCidm11o,0,철권,철권7
50,XheJnmLAwhk,0,디아블로,
51,_L9eWmZVACI,0,하스스톤,하스
52,hJ59KzX4vJI,16,워크래프트,워크
53,IJiHDmyhE1A,20,문명,
54,cgiuY-SfraU,0,사이퍼즈,
55,RvA1bEsBNYg,0,배틀그라운드,배그 플레이어언노운배틀그라운드
56,8lzzkSJz3Po,53,용과같이,
57,0KBCkCRfSao,0,스카이림,
58,G-i8HYi1QH0,0,소닉더헤지옥,소닉
59,2_DaayzaOOA,0,스타듀밸리,
60,9QfPDmzpC2Q,0,투더문,